Ferak orthoferavirus;Orthoferavirus;Unassigned;Feraviridae;Bunyavirales;ssRNA(-)
Propionibacterium virus PHL113M01;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL114L00;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL116M00;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL117M00;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL117M01;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL132N00;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL141N00;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL151M00;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL151N00;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL152M00;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL163M00;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL171M01;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL179M00;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL194M00;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL199M00;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL301M00;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus PHL308M00;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus Pirate;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus Procrass1;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus SKKY;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus Solid;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus Stormborn;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
Propionibacterium virus Wizzo;Pa6virus;Unassigned;Siphoviridae;Caudovirales;dsDNA
